Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
2561,8/27/2015,Djubo.com,Cloud Based Hotel Sales Platform,N/A,New Delhi,Ibibo Group,Private Equity Funding,,Strategic Investment
2562,8/28/2015,BetterButter.in,online recipe sharing platform,N/A,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,,N/A
2563,8/28/2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,N/A,Bangalore,Rocket Internet,Private Equity Funding,"20,00,000",Pre-Series A
2564,8/28/2015,RollMafia,QSR Restaurant Chain,N/A,Pune,Equentia Natural Resources,Seed Funding,"1,60,000",N/A
2565,8/29/2015,iamwire,Digital Media publishing platform,N/A,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,,N/A
2566,8/31/2015,DropKaffe,Online Coffee Delivery platform,N/A,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,"3,00,000",N/A
2567,8/31/2015,Reverie,Language Localization Cloud platform,N/A,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity Funding,"40,00,000",Series A
2568,8/31/2015,Infinite Analytics,Big Data & predictive Analysis Platform,N/A,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity Funding,,Bridge Round
2569,1/7/2015,Parcelled,Online Logistics Platform,N/A,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,,N/A
2570,1/7/2015,Retigence Technologies,Business IT Intelligence Services,N/A,Mumbai,Omnivore Partners,Private Equity Funding,,Series A
2571,1/7/2015,Cloudcherry Analytics,CRM / Analytics platform,N/A,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"10,00,000",N/A
2572,1/7/2015,HandyHome,Hyperlocal Electronics repair Service,N/A,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"6,30,000",N/A
2573,1/7/2015,iDreamCareer,Ed-Tech Platform,N/A,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,,N/A
2574,1/7/2015,Ola Cabs,Cab rental Mobile app,N/A,Bangalore,Ratan Tata,Private Equity Funding,,Personal Investment
2575,1/7/2015,NxtGen,IT infrastructure & Data Center services,N/A,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity Funding,"1,35,00,000",Series A
2576,2/7/2015,BankBazaar,Online Financial Services,N/A,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity Funding,"6,00,00,000",Series C\\n(More here)
2577,2/7/2015,Gozoomo,Used Car Marketplace,N/A,Bangalore,SAIF Partners,Private Equity Funding,"50,00,000",Series A
2578,2/7/2015,Zenatix,Internet of Things platform,N/A,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"1,61,000",N/A
